knob,severity,cell_label,rep,pc_seed,phe_seed,failed,spearman,max_abs_err,mean_abs_err,anchor_slope,anchor_r2
pc_curvature,0.05,pc_curvature=0.05,1,110002,110003,False,1.0,0.04780503797702529,0.017446028839753897,-1.1051021667717533,0.9913196899646595
pc_curvature,0.05,pc_curvature=0.05,2,110004,110005,False,1.0,0.050237257346487985,0.01653483304402683,-1.1212955162219627,0.9934455793344111
pc_curvature,0.05,pc_curvature=0.05,3,110006,110007,False,1.0,0.04487006463524801,0.014895544471910572,-1.0627241671180219,0.9961179235426576
pc_curvature,0.05,pc_curvature=0.05,4,110008,110009,False,1.0,0.04959556644384999,0.015531631829594,-1.1121451069314654,0.9926383813110883
pc_curvature,0.05,pc_curvature=0.05,5,110010,110011,False,1.0,0.04178535589462873,0.013064243722175503,-1.0927222816257733,0.9981760998060658
pc_curvature,0.05,pc_curvature=0.05,6,110012,110013,False,1.0,0.04460442035881562,0.014074069862139929,-1.1037950723635306,0.9965841800595358
pc_curvature,0.05,pc_curvature=0.05,7,110014,110015,False,1.0,0.0394566127636119,0.014496710534430902,-1.0458864475993834,0.9962480894731953
pc_curvature,0.05,pc_curvature=0.05,8,110016,110017,False,1.0,0.0381443833232008,0.014617346180520779,-1.0411748004936674,0.9966929174555261
pc_curvature,0.05,pc_curvature=0.05,9,110018,110019,False,1.0,0.05236399167856498,0.016930070584907336,-1.1083900993559002,0.9918894422306498
pc_curvature,0.05,pc_curvature=0.05,10,110020,110021,False,1.0,0.0631413192245559,0.01733678818636648,-1.1020270904731082,0.9968004728190935
pc_curvature,0.05,pc_curvature=0.05,11,110022,110023,False,1.0,0.040974633202460975,0.014427641872684065,-1.0959211226191472,0.9991211522880987
pc_curvature,0.05,pc_curvature=0.05,12,110024,110025,False,1.0,0.05478492496533616,0.01753835224404608,-1.1470730347876479,0.9890155002483044
pc_curvature,0.05,pc_curvature=0.05,13,110026,110027,False,1.0,0.035620852362225786,0.012512198853775214,-1.0626735825334095,0.997669320122509
pc_curvature,0.05,pc_curvature=0.05,14,110028,110029,False,1.0,0.06759048167471593,0.02237414328604464,-1.179225608062208,0.9909741565970455
pc_curvature,0.15,pc_curvature=0.15,0,120000,120001,False,1.0,0.16065405839295954,0.043688924258646435,-1.3298100614352777,0.9853175375100134
pc_curvature,0.15,pc_curvature=0.15,1,120002,120003,False,1.0,0.1619613877917676,0.04148941448424024,-1.2846034860871596,0.9833492969308064
pc_curvature,0.15,pc_curvature=0.15,2,120004,120005,False,1.0,0.15235731256378404,0.04004432493984993,-1.253342323714509,0.9871132330870257
